movie_id,primary_title
tt0000010,Leaving the Factory
tt0000016,Boat Leaving the Port
tt0000029,Baby's Meal
tt0000030,Rough Sea at Dover
tt0000208,The Miller and Chimney Sweep
tt0000309,How It Feels to Be Run Over
tt0000359,The India Rubber Head
tt0000399,Jack and the Beanstalk
tt0000430,A Chess Dispute
tt0000439,The Great Train Robbery
tt0000451,Mary Jane's Mishap
tt0000465,The Kingdom of the Fairies
tt0000574,The Story of the Kelly Gang
tt0000653,A Calamitous Elopement
tt0000880,The Girls and Daddy
tt0001013,The Redman's View
tt0001032,The Sealed Room
tt0001256,The House with Closed Shutters
tt0001265,In the Border States
tt0001724,The Last Drop of Water
tt0001740,The Lonedale Operator
tt0001857,Richard III
tt0001973,What Shall We Do with Our Old?
tt0002190,For His Son
tt0002350,The Massacre
tt0002461,The Life and Death of King Richard III
tt0002659,Bangville Police
tt0002816,The Drummer of the 8th
tt0002851,Fatty Joins the Force
tt0003419,The Student of Prague
tt0003471,Traffic in Souls
tt0003662,The Battle of Elderbush Gulch
tt0003679,Between Showers
tt0003863,Dough and Dynamite
tt0003923,The Face on the Barroom Floor
tt0003961,A Film Johnnie
tt0004007,Gentlemen of Nerve
tt0004060,Hearts and Diamonds
tt0004099,"His Majesty, the Scarecrow of Oz"
tt0004210,Laughing Gas
tt0004277,Mabel at the Wheel
tt0004280,Mabel's Busy Day
tt0004286,The Magic Cloak of Oz
tt0004288,Making a Living
tt0004457,The Patchwork Girl of Oz
tt0004670,Tango Tangles
tt0004736,Twenty Minutes of Love
tt0004936,The Bank
tt0005044,By the Sea
tt0005074,The Champion
tt0005077,A Burlesque on Carmen
tt0005078,The Cheat
tt0005336,La folie du Docteur Tube
tt0005339,A Fool There Was
tt0005402,The Golden Chance
tt0005489,His New Job
tt0005542,In the Park
tt0005557,The Italian
tt0005590,Knight of the Trail
tt0005679,"Mabel, Fatty and the Law"
tt0005864,Stick Around
tt0006206,Les Vampires
tt0006296,Wished on Mabel
tt0006689,The Floorwalker
tt0006764,He Did and He Didn't
tt0007558,Where Are My Children?
tt0007761,The Butcher Boy
tt0008011,A Girl's Folly
tt0008100,A Trip to Mars
tt0008188,The Little American
tt0008458,The Pride of the Clan
tt0008844,Are Crooks Dishonest?
tt0008854,The Eyes of the Mummy
tt0008879,The Outlaw and His Wife
tt0009123,"Good Night, Nurse!"
tt0009466,Out West
tt0009611,Shoulder Arms
tt0009652,Stella Maris
tt0010060,The Delicious Little Devil
tt0010071,Don't Change Your Husband
tt0010726,The Spiders - Episode 1: The Golden Sea
tt0010962,Anna Boleyn
tt0011263,Haunted Spooks
tt0011267,Headin' Home
tt0011588,Pollyanna
tt0011742,Sumurun
tt0011779,The Toll Gate
tt0011865,Why Change Your Wife?
tt0012190,The Four Horsemen of the Apocalypse
tt0012224,The Goat
tt0012248,Hail the Woman
tt0012303,I Do
tt0012364,The Phantom Carriage
tt0012397,Little Lord Fauntleroy
tt0012408,The Love Light
tt0012675,The Sheik
tt0012699,The Sky Pilot
tt0013075,Dr. Jack
tt0013086,"Dr. Mabuse, the Gambler"
tt0013140,Foolish Wives
tt0013194,Golf
tt0013372,Manslaughter
tt0013404,Moran of the Lady Letty
tt0013416,Mud and Sand
tt0013422,My Wife's Relations
tt0013579,Warning Shadows
tt0013597,Sherlock Holmes
tt0013662,Tess of the Storm Country
tt0013845,Help!
tt0014063,The Frogs Who Wanted a King
